Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.997033,0.998341,0.43726400000000004,0.9976860000000001,229,422,2809068885,2546949881.000000,0.000000,525466,.,.,296594.000000,194071.000000,,1.528275734138537,523907,.,.,295550.000000,193820.000000,,1.5248684346300692,1559,.,.,1044.000000,251.000000,,4.159362549800797,932826,.,.,529123.000000,319938.000000,,1.6538298045246267,524064,.,.,296882.000000,193866.000000,,1.5313773431132844,871,.,.,492.000000,322.000000,,1.5279503105590062,407891,.,.,231749.000000,125750.000000,,1.842934393638171
INDEL,*,*,PASS,*,QUAL,*,0.997022,0.998346,0.43665699999999996,0.997684,227,421,2809068885,2546949881.000000,0.000000,525466,.,.,296594.000000,194071.000000,,1.528275734138537,523901,.,.,295548.000000,193817.000000,,1.5248817183219223,1565,.,.,1046.000000,254.000000,,4.118110236220472,931805,.,.,528985.000000,319259.000000,,1.6569149186084027,524058,.,.,296880.000000,193863.000000,,1.5313907243775244,868,.,.,491.000000,320.000000,,1.534375,406879,.,.,231614.000000,125076.000000,,1.8517861140426621
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.9583729999999999,0.934743,0.8759969999999999,0.9464100000000001,3,6,3148273288.000000,2546949881.000000,0.000000,1057,.,.,596.000000,440.000000,,1.3545454545454545,1013,.,.,569.000000,428.000000,,1.3294392523364487,44,.,.,27.000000,12.000000,,2.25,8774,.,.,4935.000000,2913.000000,,1.694129763130793,1017,.,.,572.000000,428.000000,,1.3364485981308412,71,.,.,65.000000,6.000000,,10.833333333333334,7686,.,.,4298.000000,2479.000000,,1.7337636143606292
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.9583729999999999,0.934743,0.8759969999999999,0.9464100000000001,3,6,3148273288.000000,2546949881.000000,0.000000,1057,.,.,596.000000,440.000000,,1.3545454545454545,1013,.,.,569.000000,428.000000,,1.3294392523364487,44,.,.,27.000000,12.000000,,2.25,8774,.,.,4935.000000,2913.000000,,1.694129763130793,1017,.,.,572.000000,428.000000,,1.3364485981308412,71,.,.,65.000000,6.000000,,10.833333333333334,7686,.,.,4298.000000,2479.000000,,1.7337636143606292
INDEL,*,TS_contained,ALL,*,QUAL,*,0.9971110000000001,0.9984729999999999,0.0,0.997791,226,416,2546949881.000000,2546949881.000000,0.000000,524409,.,.,295998.000000,193631.000000,,1.5286705124695943,522894,.,.,294981.000000,193392.000000,,1.525300943162075,1515,.,.,1017.000000,239.000000,,4.2552301255230125,523847,.,.,296737.000000,193754.000000,,1.5315141880941814,523047,.,.,296310.000000,193438.000000,,1.5318086415285517,800,.,.,427.000000,316.000000,,1.3512658227848102,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.9971,0.9984790000000001,0.0,0.9977889999999999,224,415,2546949881.000000,2546949881.000000,0.000000,524409,.,.,295998.000000,193631.000000,,1.5286705124695943,522888,.,.,294979.000000,193389.000000,,1.525314262962216,1521,.,.,1019.000000,242.000000,,4.210743801652892,523838,.,.,296734.000000,193749.000000,,1.5315382272940763,523041,.,.,296308.000000,193435.000000,,1.5318220590896168,797,.,.,426.000000,314.000000,,1.356687898089172,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3148273288.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3148273288.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3148273288.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3148273288.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
